(1/8/2023,7766456826,50)
(1/8/2023,7766456826,-50)
(1/8/2023,6880753418,20)
(1/8/2023,6078609101,30)
(1/8/2023,3275492235,100)
(1/8/2023,7817843459,50)
(1/8/2023,3307137105,30)
(1/8/2023,9949702909,30)
(1/8/2023,4319077671,100)
(1/8/2023,0882232603,40)
(1/8/2023,7817843459,-50)
(1/8/2023,4319077671,-100)
(1/8/2023,3307137105,-30)
(1/8/2023,8924148394,40)
(1/8/2023,0882232603,-40)
(1/8/2023,8924148394,30)
(1/8/2023,9949702909,40)
(1/8/2023,7766456826,100)
(1/8/2023,7817843459,30)
(1/8/2023,0882232603,100)
(1/8/2023,6078609101,20)
(1/8/2023,6880753418,40)
(1/8/2023,3275492235,50)
(1/8/2023,4319077671,40)
(1/8/2023,3307137105,50)
(1/8/2023,6078609101,-20)
(1/8/2023,3275492235,-50)
(1/8/2023,6880753418,-40)
(1/8/2023,8924148394,100)
(1/8/2023,6880753418,50)
(1/8/2023,3307137105,50)
(1/8/2023,9949702909,30)
(1/8/2023,7817843459,50)
(1/8/2023,3275492235,30)
(1/8/2023,7766456826,30)
(1/8/2023,6078609101,40)
(1/8/2023,0882232603,20)
(1/8/2023,4319077671,30)
(1/8/2023,3307137105,-50)
(1/8/2023,0882232603,-20)
(1/8/2023,3275492235,-30)
(1/8/2023,4319077671,-30)
(1/8/2023,7766456826,20)
(1/8/2023,9949702909,20)
(1/8/2023,8924148394,100)
(1/8/2023,7817843459,20)
(1/8/2023,9949702909,-20)
(1/8/2023,7817843459,-20)
(1/8/2023,8924148394,-100)
(1/8/2023,0882232603,30)
(1/8/2023,4319077671,30)
(1/8/2023,3275492235,50)
(1/8/2023,6880753418,30)
(1/8/2023,4319077671,-30)
(1/8/2023,6880753418,-30)
(1/8/2023,3275492235,-50)
(1/8/2023,6078609101,40)
(1/8/2023,3307137105,40)
(1/8/2023,6078609101,-40)
(1/8/2023,3307137105,-40)
(1/8/2023,9949702909,40)
(1/8/2023,7766456826,30)
(1/8/2023,8924148394,20)
(1/8/2023,6880753418,20)
(1/8/2023,7766456826,-30)
(1/8/2023,7817843459,100)
(1/8/2023,4319077671,20)
(1/8/2023,6078609101,40)
(1/8/2023,3307137105,20)
(1/8/2023,0882232603,50)
(1/8/2023,3275492235,40)
(1/8/2023,4319077671,-20)
(1/8/2023,3307137105,-20)
(1/8/2023,3275492235,-40)
(1/8/2023,6880753418,100)
(1/8/2023,3307137105,50)
(1/8/2023,3275492235,30)
(1/8/2023,7817843459,40)
(1/8/2023,9949702909,40)
(1/8/2023,7766456826,100)
(1/8/2023,3275492235,-30)
(1/8/2023,8924148394,20)
(1/8/2023,7817843459,-40)
(1/8/2023,6880753418,-100)
(1/8/2023,0882232603,100)
(1/8/2023,6078609101,20)
(1/8/2023,4319077671,50)
(1/8/2023,8924148394,-20)
(1/8/2023,4319077671,-50)
(1/8/2023,0882232603,-100)
(1/8/2023,7766456826,20)
(1/8/2023,7817843459,30)
(1/8/2023,8924148394,50)
(1/8/2023,7817843459,-30)
(1/8/2023,8924148394,-50)
(1/8/2023,9949702909,50)
(1/8/2023,3307137105,100)
(1/8/2023,6078609101,100)
(1/8/2023,4319077671,40)
(1/8/2023,0882232603,40)
(1/8/2023,3275492235,40)
(1/8/2023,9949702909,-50)
(1/8/2023,0882232603,-40)
(1/8/2023,7766456826,40)
(1/8/2023,7766456826,-40)
(1/8/2023,8924148394,40)
(1/8/2023,6880753418,100)
(1/8/2023,9949702909,40)
(1/8/2023,7817843459,30)
(1/8/2023,3307137105,100)
(1/8/2023,8924148394,-40)
(1/8/2023,3307137105,-100)
(1/8/2023,4319077671,20)
(1/8/2023,3275492235,50)
(1/8/2023,7817843459,-30)
(1/8/2023,0882232603,30)
(1/8/2023,6078609101,20)
(1/8/2023,3275492235,-50)
(1/8/2023,6078609101,-20)
(1/8/2023,0882232603,-30)
(1/8/2023,7766456826,50)
